tradingsymbol,name,industry,instrument_token,avg_turnover,liquidity_rank
INDIGO,InterGlobe Aviation Ltd.,Services,2865921,5478395374.066667,31
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,112129,5304803032.371668,32
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,5215745,5228015575.804167,33
COFORGE,Coforge Ltd.,Information Technology,2955009,5180885004.2316675,34
TATASTEEL,Tata Steel Ltd.,Metals & Mining,895745,5171491767.271334,35
BEL,Bharat Electronics Ltd.,Capital Goods,98049,5113639417.804999,36
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,6342913,4999787911.464833,37
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,4296449,4948915748.253333,38
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,1883649,4805585263.256667,39
SWIGGY,Swiggy Ltd.,Consumer Services,6928897,4786525261.342,40
IFCI,IFCI Ltd.,Financial Services,381697,4724035677.1285,41
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,2170625,4584389845.636666,42
TRENT,Trent Ltd.,Consumer Services,502785,4565811932.44,43
HCLTECH,HCL Technologies Ltd.,Information Technology,1850625,4565368013.133334,44
ITC,ITC Ltd.,Fast Moving Consumer Goods,424961,4564701852.169999,45
WIPRO,Wipro Ltd.,Information Technology,969473,4563533897.575334,46
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,857857,4528235749.441667,47
SUZLON,Suzlon Energy Ltd.,Capital Goods,3076609,4512199936.655666,48
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,232961,4511859230.033334,49
PAYTM,One 97 Communications Ltd.,Financial Services,1716481,4494134554.195,50
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,1629185,4469438854.050833,51
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,975873,4445578065.4765005,52
KAYNES,Kaynes Technology India Ltd.,Capital Goods,3095553,4417928698.065,53
ADANIENSOL,Adani Energy Solutions Ltd.,Power,2615553,4328955609.095,54
TITAN,Titan Company Ltd.,Consumer Durables,897537,4276866432.948333,55
HAL,Hindustan Aeronautics Ltd.,Capital Goods,589569,4275139541.875,56
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,4267265,4258238803.766667,57
ADANIGREEN,Adani Green Energy Ltd.,Power,912129,4246732822.435,58
NTPC,NTPC Ltd.,Power,2977281,4226574098.5175,59
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,356865,4225094401.7133336,60
TECHM,Tech Mahindra Ltd.,Information Technology,3465729,4145130070.961667,61
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,884737,4108718607.0641665,62
PINELABS,Pine Labs Ltd.,Financial Services,194513921,4093699798.9846663,63
JIOFIN,Jio Financial Services Ltd.,Financial Services,4644609,4036231621.4758334,64
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,54273,3987513670.8280005,65
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,194561,3975890577.4816666,66
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,1552897,3874302294.4074993,67
PERSISTENT,Persistent Systems Ltd.,Information Technology,4701441,3832692419.2549996,68
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,3861249,3766904688.251666,69
MEESHO,Meesho Ltd.,Consumer Services,194618625,3766035414.176167,70
OFSS,Oracle Financial Services Software Ltd.,Information Technology,2748929,3756622499.883333,71
TMCV,Tata Motors Ltd.,Capital Goods,194504193,3751059342.9608326,72
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,633601,3742072619.1540003,73
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,345089,3723425157.6933336,74
LICI,Life Insurance Corporation of India,Financial Services,2426881,3686145863.1808333,75
CANBK,Canara Bank,Financial Services,2763265,3583999322.5433335,76
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,1076225,3544941112.5959997,77
FEDERALBNK,Federal Bank Ltd.,Financial Services,261889,3529328662.689166,78
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,2952193,3517175457.5666666,79
LENSKART,Lenskart Solutions Ltd.,Consumer Services,194458881,3483859355.7900004,80
LAURUSLABS,Laurus Labs Ltd.,Healthcare,4923905,3428245402.895001,81
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,10241,3382195156.433334,82
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,40193,3346017429.0583334,83
WOCKPHARMA,Wockhardt Ltd.,Healthcare,1921537,3309645635.563333,84
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,60417,3290168367.48,85
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,2800641,3287175337.5916667,86
TEJASNET,Tejas Networks Ltd.,Telecommunication,5409537,3242891969.855,87
BANKBARODA,Bank of Baroda,Financial Services,1195009,3237316105.110167,88
SAIL,Steel Authority of India Ltd.,Metals & Mining,758529,3230290422.4546666,89
POLICYBZR,PB Fintech Ltd.,Financial Services,1703937,3220002764.7183332,90
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,900609,3196880518.3933334,91
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,4598529,3175421448.1283336,92
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,4843777,3138320081.5416665,93
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,6054401,3117636822.935,94
NAUKRI,Info Edge (India) Ltd.,Consumer Services,3520257,3112312985.1808333,95
POLYCAB,Polycab India Ltd.,Capital Goods,2455041,3063153200.9,96
LODHA,Lodha Developers Ltd.,Realty,824321,3052597265.3675003,97
POWERGRID,Power Grid Corporation of India Ltd.,Power,3834113,3036907757.2083335,98
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,175361,2862977143.13,99
CUMMINSIND,Cummins India Ltd.,Capital Goods,486657,2805446473.0583334,100
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,225537,2801263361.4233336,101
AMBER,Amber Enterprises India Ltd.,Consumer Durables,303361,2763237357.858333,102
DLF,DLF Ltd.,Realty,3771393,2750145015.136667,103
SOLARINDS,Solar Industries India Ltd.,Chemicals,3412993,2741738037.25,104
PFC,Power Finance Corporation Ltd.,Financial Services,3660545,2737807265.454167,105
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,4592385,2727780460.004167,106
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,5728513,2723533599.3658338,107
ABB,ABB India Ltd.,Capital Goods,3329,2708178597.425,108
WAAREEENER,Waaree Energies Ltd.,Capital Goods,6632193,2672612982.788333,109
UNIONBANK,Union Bank of India,Financial Services,2752769,2667018396.346667,110
INDIANB,Indian Bank,Financial Services,3663105,2643529813.294167,111
CARTRADE,Cartrade Tech Ltd.,Consumer Services,1384193,2578003318.078333,112
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,7712001,2554764341.731333,113
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,579329,2543159111.456,114
APARINDS,Apar Industries Ltd.,Capital Goods,2941697,2539462880.4,115
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,108033,2530049760.6966662,116
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,1675521,2526189907.7816668,117
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,359937,2505839011.6,118
INDUSTOWER,Indus Towers Ltd.,Telecommunication,7458561,2493014865.113333,119
DMART,Avenue Supermarts Ltd.,Consumer Services,5097729,2484133400.6400003,120
ENRIN,Siemens Energy India Ltd.,Capital Goods,193758977,2447628555.325,121
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,6616065,2405105812.9916673,122
GRASIM,Grasim Industries Ltd.,Construction Materials,315393,2390923702.018333,123
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,364545,2381796445.1441665,124
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,134657,2372650574.736666,125
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,275457,2348033218.3575,126
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,1086465,2343268366.1283336,127
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,4268801,2330348814.633333,128
YESBANK,Yes Bank Ltd.,Financial Services,3050241,2316207619.2345,129
LUPIN,Lupin Ltd.,Healthcare,2672641,2298887063.806667,130
CDSL,Central Depository Services (India) Ltd.,Financial Services,5420545,2262245926.533334,131
ANGELONE,Angel One Ltd.,Financial Services,82945,2255748894.0408335,132
KPITTECH,KPIT Technologies Ltd.,Information Technology,2478849,2243471253.6150002,133
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,3011329,2214340519.004,134
DELHIVERY,Delhivery Ltd.,Services,2457345,2207789539.43,135
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,584449,2188254422.0278335,136
GMRAIRPORT,GMR Airports Ltd.,Services,3463169,2175886616.371333,137
REDINGTON,Redington Ltd.,Services,3649281,2154175296.0833335,138
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,173057,2154142446.395,139
CIPLA,Cipla Ltd.,Healthcare,177665,2138305263.5283334,140
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,524545,2121262737.8899999,141
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,1346049,2091666106.6666665,142
NMDC,NMDC Ltd.,Metals & Mining,3924993,2083232983.7903333,143
KEI,KEI Industries Ltd.,Capital Goods,3407361,2082166475.5083334,144
LTM,LTM Ltd.,Information Technology,4561409,2075675992.4716666,145
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,3001089,2065831973.7850003,146
PNB,Punjab National Bank,Financial Services,2730497,2051927996.3366666,147
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,130305,2046334886.9049997,148
RECLTD,REC Ltd.,Financial Services,3930881,2019841522.6283336,149
BIOCON,Biocon Ltd.,Healthcare,2911489,2017493245.38,150
RBLBANK,RBL Bank Ltd.,Financial Services,4708097,2013415337.0291667,151
NHPC,NHPC Ltd.,Power,4454401,2011800051.1744998,152
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,2962689,2010071508.2833333,153
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,119553,1981220219.0025,154
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,297985,1976256920.3733332,155
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,2863105,1973940631.2970002,156
AUBANK,AU Small Finance Bank Ltd.,Financial Services,5436929,1959858424.7949998,157
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,70401,1946914320.1683333,158
GLAND,Gland Pharma Ltd.,Healthcare,303617,1933871199.0383334,159
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,4359425,1931476207.1091664,160
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,5506049,1924631742.6666667,161
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,878593,1924376060.638333,162
BDL,Bharat Dynamics Ltd.,Capital Goods,548865,1912348684.4283335,163
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,2763009,1884069171.4575002,164
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,5359617,1876340755.9166667,165
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,4632577,1872453985.8091667,166
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,415745,1864607842.3043332,167
LTF,L&T Finance Ltd.,Financial Services,6386689,1836711666.2274997,168
TATAPOWER,Tata Power Co. Ltd.,Power,877057,1830995616.0033333,169
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,1401601,1789196987.791667,170
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,1207553,1788955612.2245002,171
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,558337,1780198078.4166667,172
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,5582849,1771869271.675,173
RVNL,Rail Vikas Nigam Ltd.,Construction,2445313,1755808269.1186666,174
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,4464129,1750637309.4825003,175
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,5573121,1736801275.1133335,176
MARICO,Marico Ltd.,Fast Moving Consumer Goods,1041153,1694166505.8716667,177
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,2029825,1691947633.6299999,178
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,140033,1691904749.875,179
SIEMENS,Siemens Ltd.,Capital Goods,806401,1690074068.4350002,180
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,3756033,1685289449.825,181
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,387073,1683776604.2233331,182
RRKABEL,R R Kabel Ltd.,Capital Goods,4752897,1648776046.7400002,183
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,3400961,1621865838.6458333,184
PIDILITIND,Pidilite Industries Ltd.,Chemicals,681985,1612634303.2066667,185
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,1199105,1607371922.8774998,186
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,4879617,1602645224.0933335,187
ANANTRAJ,Anant Raj Ltd.,Realty,3486721,1601195854.6866667,188
WELCORP,Welspun Corp Ltd.,Capital Goods,3026177,1589040829.2916667,189
PREMIERENE,Premier Energies Ltd.,Capital Goods,6412545,1584235381.7266667,190
JSWENERGY,JSW Energy Ltd.,Power,4574465,1576298932.040833,191
PGEL,PG Electroplast Ltd.,Consumer Durables,6491649,1561453403.0666666,192
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,2813441,1559572762.633333,193
PWL,Physicswallah Ltd.,Consumer Services,194489089,1541171516.6821668,194
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,194664193,1538287232.085,195
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,2585345,1536977155.2766669,196
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,5533185,1528150840.471667,197
THERMAX,Thermax Ltd.,Capital Goods,889601,1502394637.6966667,198
NLCINDIA,NLC India Ltd.,Power,2197761,1469851719.2208335,199
TATAELXSI,Tata Elxsi Ltd.,Information Technology,873217,1460007848.6,200
FORTIS,Fortis Healthcare Ltd.,Healthcare,3735553,1452590001.4533334,201
PAGEIND,Page Industries Ltd.,Textiles,3689729,1433814997.0,202
SRF,SRF Ltd.,Chemicals,837889,1433481536.1383333,203
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,1895937,1402181551.8466666,204
GODREJPROP,Godrej Properties Ltd.,Realty,4576001,1396261052.3116667,205
NBCC,NBCC (India) Ltd.,Construction,8042241,1371100160.2859998,206
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,1427969,1370305678.8633337,207
SCI,Shipping Corporation of India Ltd.,Services,780289,1369255861.291667,208
TATATECH,Tata Technologies Ltd.,Information Technology,5195009,1366250903.2458334,209
IDBI,IDBI Bank Ltd.,Financial Services,377857,1365937390.5903332,210
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,2962177,1364744227.0088334,211
MPHASIS,MphasiS Ltd.,Information Technology,1152769,1363086207.3383331,212
JSWINFRA,JSW Infrastructure Ltd.,Services,4869121,1358651825.8250003,213
ZENTEC,Zen Technologies Ltd.,Capital Goods,1922049,1357528603.4233332,214
NIACL,The New India Assurance Company Ltd.,Financial Services,102145,1351252232.2638333,215
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,5072129,1350355713.611667,216
MAHABANK,Bank of Maharashtra,Financial Services,2912513,1329114281.6751668,217
UPL,UPL Ltd.,Chemicals,2889473,1316607818.2841668,218
HAVELLS,Havells India Ltd.,Consumer Durables,2513665,1312680847.8083334,219
BANKINDIA,Bank of India,Financial Services,1214721,1311606547.7143328,220
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,1723649,1310419111.7966666,221
PHOENIXLTD,Phoenix Mills Ltd.,Realty,3725313,1308596425.1549997,222
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,6599681,1303073381.24,223
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,470529,1302787872.1308334,224
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,325121,1299226262.143333,225
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,615937,1297627321.45,226
360ONE,360 ONE WAM Ltd.,Financial Services,3343617,1277947994.4483333,227
ASTRAL,Astral Ltd.,Capital Goods,3691009,1274883620.7533333,228
IIFL,IIFL Finance Ltd.,Financial Services,3023105,1266897120.9633334,229
MFSL,Max Financial Services Ltd.,Financial Services,548353,1245716356.5983331,230
VOLTAS,Voltas Ltd.,Consumer Durables,951809,1244475000.5800002,231
MANKIND,Mankind Pharma Ltd.,Healthcare,3937281,1240682034.5266669,232
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,2674433,1238209254.9066668,233
PRESTIGE,Prestige Estates Projects Ltd.,Realty,5197313,1225997891.8549998,234
GESHIP,Great Eastern Shipping Co. Ltd.,Services,3526657,1205244837.888333,235
TATACOMM,Tata Communications Ltd.,Telecommunication,952577,1202038378.0133336,236
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,193818113,1199923865.2691665,237
VMM,Vishal Mega Mart Ltd.,Consumer Services,7160065,1191976327.6549997,238
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,194490369,1189380733.2433329,239
CONCOR,Container Corporation of India Ltd.,Services,1215745,1131619651.5833333,240
TATACAP,Tata Capital Ltd.,Financial Services,194371841,1129097400.2083333,241
FINCABLES,Finolex Cables Ltd.,Capital Goods,265729,1127576992.5908334,242
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,194614529,1121277618.4616666,243
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,5461505,1105857161.3416667,244
INOXWIND,Inox Wind Ltd.,Capital Goods,2010113,1101541006.8951666,245
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,91393,1084839119.4466665,246
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,1829121,1077690711.025,247
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,2723073,1068753415.125,248
KFINTECH,Kfin Technologies Ltd.,Financial Services,3419905,1068041401.8083333,249
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,25601,1067191040.7641667,250
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,4432129,1065734437.9316669,251
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,6549505,1054293375.5475003,252
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,194529281,1049176224.0558333,253
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,2493697,1045610953.5685,254
HEG,H.E.G. Ltd.,Capital Goods,342017,1035839169.7516667,255
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,3884545,1032316206.3391666,256
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,4840449,1017702233.6899999,257
CPPLUS,Aditya Infotech Ltd.,Capital Goods,194267649,1015104990.2833333,258
RITES,RITES Ltd.,Construction,962817,1009243662.9816668,259
SONATSOFTW,Sonata Software Ltd.,Information Technology,1688577,1009168196.62,260
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,519425,1003865686.9256666,261
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,3623425,995090062.7783334,262
GRANULES,Granules India Ltd.,Healthcare,3039233,980446525.3499998,263
CGCL,Capri Global Capital Ltd.,Financial Services,5204225,975468954.6715,264
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,3826433,972015866.4308333,265
CAMS,Computer Age Management Services Ltd.,Financial Services,87553,969512353.74,266
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,1332225,967903269.4741666,267
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,197633,958805033.0316666,268
FSL,Firstsource Solutions Ltd.,Services,3661825,953711452.1711668,269
HBLENGINE,HBL Engineering Ltd.,Capital Goods,3575297,951899449.5466666,270
CEMPRO,Cemindia Projects Ltd.,Construction,1439233,937075964.105,271
PIIND,PI Industries Ltd.,Chemicals,6191105,935002131.4733332,272
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,4774913,926018509.2241666,273
RPOWER,Reliance Power Ltd.,Power,3906305,912598566.6596665,274
OBEROIRLTY,Oberoi Realty Ltd.,Realty,5181953,908392488.7133334,275
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,302337,907534861.3883334,276
ALKEM,Alkem Laboratories Ltd.,Healthcare,2995969,904358897.3833333,277
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,4792577,904298074.3899999,278
SAGILITY,Sagility Ltd.,Information Technology,6925313,900418012.1061667,279
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,79873,894138160.2900001,280
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,4600577,891522387.9391665,281
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,1442049,882311223.7490001,282
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,3876097,870573462.3583333,283
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,2983425,861518512.9016668,284
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,7977729,858732551.5991669,285
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,194366465,853989972.3541667,286
KPRMILL,K.P.R. Mill Ltd.,Textiles,3817473,834454132.9333333,287
MRF,MRF Ltd.,Automobile and Auto Components,582913,833074658.0833334,288
GRAPHITE,Graphite India Ltd.,Capital Goods,151553,831497538.6883333,289
ACMESOLAR,ACME Solar Holdings Ltd.,Power,6927617,829500112.9525,290
URBANCO,Urban Company Ltd.,Consumer Services,194325505,807061364.6409999,291
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,2921217,806093395.3366666,292
ENGINERSIN,Engineers India Ltd.,Construction,1256193,774142685.8628333,293
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,4376065,765220196.19,294
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,3520001,763939869.8783333,295
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,277761,763716841.9866666,296
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,511233,762377003.51,297
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,2919169,744260174.5308334,298
BLUESTARCO,Blue Star Ltd.,Consumer Durables,2127617,743550242.3833333,299
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,5186817,736414427.8646666,300
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,85761,728321604.655,301
AARTIIND,Aarti Industries Ltd.,Chemicals,1793,715812580.0741665,302
JSWCEMENT,JSW Cement Ltd.,Construction Materials,194165761,707710257.9081669,303
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,2905857,703593487.3483334,304
CHOICEIN,Choice International Ltd.,Financial Services,2269697,697344862.5616667,305
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,3945985,691516341.9566667,306
IEX,Indian Energy Exchange Ltd.,Financial Services,56321,685978730.8495,307
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,194445057,684764194.87,308
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,730625,683274141.05,309
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,1003009,678046486.6833335,310
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,860929,675981922.8516668,311
CUB,City Union Bank Ltd.,Financial Services,1459457,675683920.5771667,312
NH,Narayana Hrudayalaya Ltd.,Healthcare,3031041,674391543.01,313
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,211713,663643745.7083334,314
JBMA,JBM Auto Ltd.,Automobile and Auto Components,2983681,661894631.9333333,315
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,1850113,658486664.91,316
SHREECEM,Shree Cement Ltd.,Construction Materials,794369,654497488.3333334,317
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,1389057,647567275.4533333,318
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,1252353,647288525.5266668,319
PCBL,PCBL Chemical Ltd.,Chemicals,678145,636142851.1483333,320
SAILIFE,Sai Life Sciences Ltd.,Healthcare,7126785,634034787.6500001,321
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,7995905,627672793.8816667,322
ECLERX,eClerx Services Ltd.,Services,3885825,627622437.6800001,323
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,2076161,622554168.5356668,324
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,1201409,619730463.0066665,325
WELSPUNLIV,Welspun Living Ltd.,Textiles,2880769,619256525.4111667,326
BSOFT,Birlasoft Ltd.,Information Technology,1790465,618697228.0849999,327
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,5039617,603818929.7016666,328
